cod_empresa|alerta|sequencia|num_programa|data_programa|cod_equip|num_ordem|ies_situa|cod_item_cliente|cod_item|operacao|qtd_planej|qtd_boas|horas_necessarias|qtd_percentual|obs_alerta
12|0|43|30240|2022-10-04 20:43:49|RP-0003|12314929|4|534981050 LD|870000323900|038 - MONTAR CJ. FINAL|200|277|0|1,385|
12|0|43|30240|2022-10-04 20:43:49|RP-0003|12314905|4|534981060 LE|870000323800|055 - MONTAR COMP.E SOLDAR PONTO|200|277|0|1,385|
12|0|50|30241|2022-10-04 21:05:17|PR-0453|12323446|4|534164520_530|87000032380120|014 - REPUXAR|2400|0|8|0|
01|0|08|30222|2022-10-04 15:32:57|PR-0446|13929149|2|39005937   LD|100000053400|007 - ESTAMPAR EM 03 ESTAGIOS|1500|0|7,143|0|
12|0|02|30223|2022-10-04 15:38:55|PR-0402|12321962|4|53489521 LD|87000031920520|008 - ESTAMPAR EM 04 ESTAGIOS|1400|700|3,182|0,5|
12|0|03|30224|2022-10-04 17:15:04|SP-0450|12324185|4|534898310|87000031840040|035 - SOLDAR PORCA|168|0|1,6|0|
12|0|02|30227|2022-10-04 17:18:04|RO-020|12314451|4|533318920 LE|870000320900|081 - CRAVAR PINO|1500|972|2,933|0,648|
12|0|05|30231|2022-10-04 17:33:01|TK-0007|12315984|4|534894510 LE|87000031890010|036 - SOLDAR PINO|75|0|0,872|0|
12|0|03|30232|2022-10-04 17:34:53|RM-0001|12317776|4|53489530 LD|870000319206|037 - MONTAR E SOLDAR MIG|300|295|0,04|0,983|
12|0|03|30232|2022-10-04 17:34:53|RM-0001|12318870|4|53489593 LE|870000319406|037 - MONTAR E SOLDAR MIG|300|298|0,016|0,993|
12|0|05|30233|2022-10-04 17:37:02|RM-0001|12320575|4|534949730|87000032840010|037 - MONTAR E SOLDAR MIG|216|90|4,667|0,417|
12|0|02|30235|2022-10-04 17:44:49|RM-0002|12317680|2|53489540 LD|870000319204|037 - MONTAR E SOLDAR MIG|400|0|3,636|0|
12|0|02|30235|2022-10-04 17:44:49|RM-0002|12318773|2|53489595 LE|870000319404|037 - MONTAR E SOLDAR MIG|400|0|3,636|0|
01|0|02|29660|2022-09-29 15:04:39|PR-0123|13879664|4|620527300A|880000760500|046 - FORMAR|3000|0|7,5|0|
12|0|03|30236|2022-10-04 17:45:25|RM-0002|12305675|4|53490336 LD|870000319203|037 - MONTAR E SOLDAR MIG|300|0|1,695|0|
01|0|03|29663|2022-09-29 15:12:06|PR-0444|13844506|4|94755855 LE|10000005920120|007 - ESTAMPAR EM 03 ESTAGIOS|1771|0|12,214|0|
01|0|03|29663|2022-09-29 15:12:06|PR-0444|13844517|4|94755856 LD|10000005930120|007 - ESTAMPAR EM 03 ESTAGIOS|1771|0|8,05|0|
01|0|07|29666|2022-09-29 15:22:59|PR-0439|13883231|2|52108068|100000047602|007 - ESTAMPAR EM 03 ESTAGIOS|1500|0|4,967|0|
01|0|07|29666|2022-09-29 15:22:59|PR-0439|13883242|2|52108069|100000047702|007 - ESTAMPAR EM 03 ESTAGIOS|1500|0|4,967|0|
01|0|05|29667|2022-09-29 15:25:50|PR-0154|13886412|2|52071249|100000032401|007 - ESTAMPAR EM 03 ESTAGIOS|3000|0|13,699|0|
01|0|05|29667|2022-09-29 15:25:50|PR-0154|13886431|2|52147460|100000032402|007 - ESTAMPAR EM 03 ESTAGIOS|3000|0|13,699|0|
01|0|05|29667|2022-09-29 15:25:50|PR-0154|13886498|2|52071248|100000032501|007 - ESTAMPAR EM 03 ESTAGIOS|3000|0|13,699|0|
01|0|05|29667|2022-09-29 15:25:50|PR-0154|13886510|2|52147461|100000032502|007 - ESTAMPAR EM 03 ESTAGIOS|3000|0|13,699|0|
12|0|03|30236|2022-10-04 17:45:25|RM-0002|12306772|4|53490335 LE|870000319403|037 - MONTAR E SOLDAR MIG|300|0|1,695|0|
12|0|02|30237|2022-10-04 17:46:31|PR-0454|12321726|4|53490375 LE|87000031910220|008 - ESTAMPAR EM 04 ESTAGIOS|800|855|0|1,069|
12|0|02|30237|2022-10-04 17:46:31|PR-0454|12321782|4|53490377 LD|87000031910320|008 - ESTAMPAR EM 04 ESTAGIOS|800|535|1,039|0,669|
01|0|01|30238|2022-10-04 17:52:41|PR-0252|13875520|4|94733067|10000003240520|007 - ESTAMPAR EM 03 ESTAGIOS|880|0|3,385|0|
01|0|01|30238|2022-10-04 17:52:41|PR-0252|13929153|4|94733077|10000003250520|007 - ESTAMPAR EM 03 ESTAGIOS|880|0|3,385|0|
12|0|50|30241|2022-10-04 21:05:17|PR-0453|12319697|4|534164520 LD|870000323801|007 - ESTAMPAR EM 03 ESTAGIOS|2400|1344|4,591|0,56|
12|0|50|30241|2022-10-04 21:05:17|PR-0453|12319827|4|534164530 LE|870000323901|007 - ESTAMPAR EM 03 ESTAGIOS|2400|1337|4,622|0,557|
12|0|01|30242|2022-10-04 21:49:00|RE-0032|12320225|4|531109730|870000328002|050 - REPASSAR FURO ESCAR.E ROSQUEAR|3000|0|9,375|0|
01|0|01|30243|2022-10-04 23:07:55|PR-0186|13929155|4|W10395476|610003503100|004 - ESTAMPAR CPL. PROGRESSIVA|65152|32500|5,937|0,499|
12|0|08|29697|2022-09-29 20:45:02|SP-0457|12266571|4|534903200 LD|870000320200|044 - SOLDAR BUCHA|500|0|1,429|0|
01|0|01|30252|2022-10-05 05:43:20|PR-0158|13939667|4|52017160|100000036703|007 - ESTAMPAR EM 03 ESTAGIOS|4000|728|9,349|0,182|
